model,outcome,term,estimate,std.error,statistic,p.value,p.adj,sig,conf.low,conf.high,exp_est,exp_lci,exp_uci,pct_change,stars,composite_type
CogDrisk_cont,ab_ratio,GRS,0.004,0.003,1.358,0.176,0.30223464131238165,Not significant,-0.002,0.009,NA,NA,NA,NA,,CogDrisk
LIBRA2_cont,ab_ratio,GRS,0.004,0.003,1.432,0.154,0.33648872297453414,Not significant,-0.001,0.009,NA,NA,NA,NA,,LIBRA2
CogDrisk_cont,ab_ratio,apoe_burden,-0.005,0.002,-2.16,0.032,0.13496278847255214,Significant (non-adjusted),-0.009,-0,NA,NA,NA,NA,,CogDrisk
LIBRA2_cont,ab_ratio,apoe_burden,-0.005,0.002,-2.064,0.041,0.13859513203137955,Significant (non-adjusted),-0.009,-0,NA,NA,NA,NA,,LIBRA2
CogDrisk_cont,ab_ratio,fhx_burden,-0.005,0.003,-1.982,0.049,0.14754344951752899,Significant (non-adjusted),-0.01,-0,NA,NA,NA,NA,,CogDrisk
LIBRA2_cont,ab_ratio,fhx_burden,-0.005,0.003,-1.758,0.081,0.19335856887889394,Not significant,-0.01,0.001,NA,NA,NA,NA,,LIBRA2
CogDrisk,ab_ratio,risk_score_cogd,-0.003,0.001,-2.104,0.037,0.07039727806592957,Significant (non-adjusted),-0.005,-0,NA,NA,NA,NA,,CogDrisk
LIBRA2,ab_ratio,risk_score_libra2,-0.002,0.001,-1.166,0.245,0.29425708808597745,Not significant,-0.004,0.001,NA,NA,NA,NA,,LIBRA2
CogDrisk_cont,ab_ratio,score_cogd_z,-0,0.001,-0.273,0.785,0.8191920520849767,Not significant,-0.002,0.002,NA,NA,NA,NA,,CogDrisk
LIBRA2_cont,ab_ratio,score_libra2_z,0.001,0.001,1.185,0.238,0.43930933374200104,Not significant,-0.001,0.003,NA,NA,NA,NA,,LIBRA2
LIBRA2_cont,gfap_log,GRS,0.236,0.093,2.537,0.012,0.061037004497428764,Significant (non-adjusted),0.054,0.418,1.266,1.055,1.519,26.586,,LIBRA2
CogDrisk_cont,gfap_log,GRS,0.263,0.098,2.69,0.008,0.052589130660765246,Significant (non-adjusted),0.071,0.455,1.301,1.074,1.577,30.144,,CogDrisk
CogDrisk_cont,gfap_log,apoe_burden,0.14,0.075,1.867,0.064,0.15297567771706025,Not significant,-0.007,0.287,1.15,0.993,1.333,15.039,,CogDrisk
LIBRA2_cont,gfap_log,apoe_burden,0.196,0.073,2.695,0.008,0.061037004497428764,Significant (non-adjusted),0.053,0.338,1.216,1.055,1.402,21.63,,LIBRA2
LIBRA2_cont,gfap_log,fhx_burden,0.003,0.085,0.033,0.974,0.9990566098479909,Not significant,-0.164,0.17,1.003,0.848,1.185,0.28,,LIBRA2
CogDrisk_cont,gfap_log,fhx_burden,0.03,0.091,0.327,0.744,0.8113697285024263,Not significant,-0.149,0.209,1.03,0.862,1.232,3.033,,CogDrisk
CogDrisk,gfap_log,risk_score_cogd,0.09,0.045,2.002,0.047,0.07039727806592957,Significant (non-adjusted),0.002,0.178,1.094,1.002,1.195,9.406,,CogDrisk
LIBRA2,gfap_log,risk_score_libra2,0.098,0.043,2.285,0.024,0.039949017555099636,Significant (FDR-adjusted),0.014,0.182,1.103,1.014,1.2,10.32,*,LIBRA2
CogDrisk_cont,gfap_log,score_cogd_z,0.038,0.036,1.057,0.292,0.46717173969697284,Not significant,-0.033,0.109,1.039,0.968,1.115,3.9,,CogDrisk
LIBRA2_cont,gfap_log,score_libra2_z,0.037,0.034,1.068,0.287,0.4920913762422735,Not significant,-0.031,0.104,1.038,0.97,1.11,3.753,,LIBRA2
LIBRA2_cont,nfl_log,GRS,0.163,0.081,2.009,0.046,0.13859513203137955,Significant (non-adjusted),0.004,0.322,1.177,1.004,1.379,17.683,,LIBRA2
CogDrisk_cont,nfl_log,GRS,0.175,0.084,2.077,0.039,0.13496278847255214,Significant (non-adjusted),0.01,0.34,1.191,1.01,1.405,19.102,,CogDrisk
CogDrisk_cont,nfl_log,apoe_burden,-0.057,0.064,-0.888,0.376,0.5014407907693414,Not significant,-0.184,0.069,0.944,0.832,1.072,-5.563,,CogDrisk
LIBRA2_cont,nfl_log,apoe_burden,-0,0.063,-0.001,0.999,0.9990566098479909,Not significant,-0.124,0.124,1,0.883,1.132,-0.008,,LIBRA2
LIBRA2_cont,nfl_log,fhx_burden,0.051,0.074,0.685,0.495,0.6982380738282502,Not significant,-0.095,0.197,1.052,0.909,1.217,5.226,,LIBRA2
CogDrisk_cont,nfl_log,fhx_burden,0.071,0.078,0.908,0.365,0.5014407907693414,Not significant,-0.083,0.225,1.074,0.921,1.252,7.377,,CogDrisk
CogDrisk,nfl_log,risk_score_cogd,0.061,0.039,1.569,0.118,0.11848356953470064,Not significant,-0.015,0.136,1.063,0.985,1.146,6.257,,CogDrisk
LIBRA2,nfl_log,risk_score_libra2,0.015,0.037,0.406,0.685,0.6851364037674954,Not significant,-0.057,0.087,1.015,0.944,1.091,1.509,,LIBRA2
CogDrisk_cont,nfl_log,score_cogd_z,0.066,0.031,2.114,0.036,0.13496278847255214,Significant (non-adjusted),0.005,0.127,1.068,1.005,1.135,6.796,,CogDrisk
LIBRA2_cont,nfl_log,score_libra2_z,-0.001,0.03,-0.038,0.97,0.9990566098479909,Not significant,-0.06,0.058,0.999,0.942,1.06,-0.114,,LIBRA2
CogDrisk_cont,ptau181_log,GRS,0.086,0.118,0.728,0.468,0.5615269309062539,Not significant,-0.146,0.318,1.09,0.864,1.375,9.003,,CogDrisk
LIBRA2_cont,ptau181_log,GRS,0.101,0.119,0.853,0.395,0.6292258497786172,Not significant,-0.131,0.334,1.107,0.877,1.396,10.653,,LIBRA2
CogDrisk_cont,ptau181_log,apoe_burden,0.152,0.091,1.675,0.096,0.20914862973852927,Not significant,-0.026,0.33,1.164,0.974,1.391,16.425,,CogDrisk
LIBRA2_cont,ptau181_log,apoe_burden,0.195,0.093,2.096,0.038,0.13859513203137955,Significant (non-adjusted),0.013,0.376,1.215,1.013,1.457,21.471,,LIBRA2
LIBRA2_cont,ptau181_log,fhx_burden,0.051,0.109,0.472,0.638,0.8379598090148909,Not significant,-0.162,0.265,1.053,0.85,1.303,5.275,,LIBRA2
CogDrisk_cont,ptau181_log,fhx_burden,0.083,0.11,0.752,0.453,0.5615269309062539,Not significant,-0.133,0.299,1.087,0.875,1.349,8.658,,CogDrisk
CogDrisk,ptau181_log,risk_score_cogd,0.094,0.053,1.764,0.08,0.09544233271510628,Not significant,-0.01,0.198,1.099,0.99,1.219,9.853,,CogDrisk
LIBRA2,ptau181_log,risk_score_libra2,0.119,0.053,2.237,0.027,0.039949017555099636,Significant (FDR-adjusted),0.015,0.224,1.127,1.015,1.251,12.679,*,LIBRA2
CogDrisk_cont,ptau181_log,score_cogd_z,0.027,0.044,0.623,0.534,0.610248573993588,Not significant,-0.059,0.113,1.028,0.943,1.12,2.766,,CogDrisk
LIBRA2_cont,ptau181_log,score_libra2_z,-0.016,0.044,-0.357,0.721,0.8654557208775979,Not significant,-0.102,0.071,0.984,0.903,1.073,-1.562,,LIBRA2
CogDrisk_cont,ptau217_ab42_ratio_log,GRS,-0.133,0.094,-1.415,0.159,0.29862350730764975,Not significant,-0.318,0.051,0.875,0.727,1.053,-12.496,,CogDrisk
LIBRA2_cont,ptau217_ab42_ratio_log,GRS,-0.121,0.096,-1.255,0.211,0.42265870107018244,Not significant,-0.309,0.068,0.886,0.734,1.07,-11.357,,LIBRA2
CogDrisk_cont,ptau217_ab42_ratio_log,apoe_burden,0.213,0.072,2.94,0.004,0.045051711648588885,Significant (FDR-adjusted),0.071,0.354,1.237,1.073,1.425,23.679,*,CogDrisk
LIBRA2_cont,ptau217_ab42_ratio_log,apoe_burden,0.236,0.075,3.145,0.002,0.023721348088683154,Significant (FDR-adjusted),0.089,0.383,1.266,1.093,1.467,26.645,*,LIBRA2
LIBRA2_cont,ptau217_ab42_ratio_log,fhx_burden,0.222,0.088,2.52,0.013,0.061037004497428764,Significant (non-adjusted),0.049,0.395,1.249,1.051,1.485,24.89,,LIBRA2
CogDrisk_cont,ptau217_ab42_ratio_log,fhx_burden,0.233,0.088,2.653,0.009,0.052589130660765246,Significant (non-adjusted),0.061,0.405,1.263,1.063,1.5,26.255,,CogDrisk
CogDrisk,ptau217_ab42_ratio_log,risk_score_cogd,0.093,0.044,2.122,0.035,0.07039727806592957,Significant (non-adjusted),0.007,0.179,1.097,1.007,1.196,9.749,,CogDrisk
LIBRA2,ptau217_ab42_ratio_log,risk_score_libra2,0.118,0.044,2.653,0.009,0.039949017555099636,Significant (FDR-adjusted),0.031,0.205,1.125,1.031,1.228,12.522,*,LIBRA2
CogDrisk_cont,ptau217_ab42_ratio_log,score_cogd_z,0.004,0.035,0.102,0.919,0.9191961788804646,Not significant,-0.065,0.072,1.004,0.937,1.075,0.355,,CogDrisk
LIBRA2_cont,ptau217_ab42_ratio_log,score_libra2_z,-0.016,0.036,-0.436,0.663,0.8379598090148909,Not significant,-0.085,0.054,0.985,0.918,1.056,-1.543,,LIBRA2
CogDrisk_cont,ptau217_log,GRS,-0.078,0.086,-0.897,0.371,0.5014407907693414,Not significant,-0.247,0.092,0.925,0.781,1.096,-7.46,,CogDrisk
LIBRA2_cont,ptau217_log,GRS,-0.07,0.087,-0.809,0.419,0.6292258497786172,Not significant,-0.24,0.1,0.932,0.786,1.105,-6.783,,LIBRA2
CogDrisk_cont,ptau217_log,apoe_burden,0.247,0.066,3.738,0,0.005977905989791808,Significant (FDR-adjusted),0.118,0.377,1.28,1.125,1.458,28.045,**,CogDrisk
LIBRA2_cont,ptau217_log,apoe_burden,0.28,0.068,4.098,0,0.001526124006408951,Significant (FDR-adjusted),0.146,0.414,1.323,1.157,1.513,32.333,**,LIBRA2
LIBRA2_cont,ptau217_log,fhx_burden,0.141,0.079,1.786,0.076,0.19335856887889394,Not significant,-0.014,0.295,1.151,0.986,1.343,15.102,,LIBRA2
CogDrisk_cont,ptau217_log,fhx_burden,0.152,0.079,1.917,0.057,0.15145571091552423,Not significant,-0.003,0.307,1.164,0.997,1.36,16.418,,CogDrisk
CogDrisk,ptau217_log,risk_score_cogd,0.09,0.041,2.219,0.028,0.07039727806592957,Significant (non-adjusted),0.011,0.17,1.094,1.011,1.185,9.433,,CogDrisk
LIBRA2,ptau217_log,risk_score_libra2,0.098,0.041,2.388,0.018,0.039949017555099636,Significant (FDR-adjusted),0.018,0.178,1.103,1.018,1.195,10.284,*,LIBRA2
CogDrisk_cont,ptau217_log,score_cogd_z,0.046,0.032,1.405,0.162,0.29862350730764975,Not significant,-0.018,0.109,1.047,0.982,1.115,4.659,,CogDrisk
LIBRA2_cont,ptau217_log,score_libra2_z,0.003,0.032,0.096,0.923,0.9990566098479909,Not significant,-0.06,0.067,1.003,0.941,1.069,0.313,,LIBRA2
